kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep
YRDC,0.5468670531787359,1.1761227682108331e-06,4.200329412405365,4.747196465584101,2.0821915960814106e-06,-1.1823769609060644,-1.7541977735846048,-1.5733559240204282,-0.1808418495641766,0.39097896311436386,0.2661772466801259,0.04714638944401342,-0.5718208126785405,0.02620719682974334,True,True,False,False,False,False,,True,False
TFRC,0.6420709517904406,0.0004266351397906198,4.7067390547249595,5.3488100065154,0.0005930480039212492,-0.44129124292739724,-0.9894065706111391,-0.7968355832132252,-0.1925709873979139,0.355544340285828,0.06494166820120076,0.0008586144863079784,-0.5481153276837418,9.635791081435442e-05,True,True,False,False,False,False,,True,False
TRPM7,0.6330473732681585,1.1926316098486662e-05,2.854681049900382,3.4877284231685404,1.90867328443288e-05,-0.5308466601175228,-1.0516716401155908,-0.7208099145430217,-0.3308617255725691,0.18996325442549888,0.0009098022484815961,0.03207793950567069,-0.520824979998068,0.0002555630809793023,True,True,True,False,False,False,,True,False
MYC,1.1904658434743158,1.7419842948692343e-06,4.152397496515162,5.342863339989478,3.035136311018201e-06,-1.5535684420002962,-1.9300155150534357,-1.7422223778053396,-0.1877931372480961,0.18865393580504342,0.2692390730473212,0.07721035689052014,-0.3764470730531395,0.03558436548663712,True,True,False,False,True,False,-0.5,True,False
SLC3A2,0.7587271489982053,1.231027276128719e-06,5.725249232770207,6.483976381768413,2.1747269867370304e-06,-0.3554914543838172,-0.7249000444991494,-0.4943311779191602,-0.23056886657998915,0.13883972353534302,0.0008254722136300079,0.01600284335604834,-0.36940859011533217,0.00011764056738447306,True,False,True,False,False,False,,True,False
CDK6,0.48985505983765343,0.10365065664571896,2.635433754989802,3.1252888148274556,0.11909720297035951,-0.39830927231345326,-0.7411662489301453,-0.5890738556294769,-0.15209239330066837,0.19076458331602364,0.08097180734648803,0.13995862908386317,-0.342856976616692,0.003157005400849308,True,False,False,False,False,False,,True,False
SLC7A5,1.236285192770504,8.966185646831089e-06,3.2190424790856627,4.455327671856167,1.4561226690227655e-05,-0.13040567515708582,-0.45215445321409165,-0.22497446103068702,-0.22717999218340462,0.09456878587360121,0.005070807586417795,0.1916866952208971,-0.32174877805700586,0.0058218480308125774,True,False,True,False,True,False,-0.5,True,False
KRAS,1.170629772687008,3.052519971125425e-14,3.1887009762212224,4.3593307489082305,1.6622633506128553e-13,-0.39175292354501035,-0.6934358257000127,-0.5581117449962231,-0.13532408070378965,0.16635882145121272,0.07636875480853698,0.8349926252204244,-0.3016829021550024,0.08235221505280665,True,False,False,False,True,False,-0.5,True,False
WNK1,0.6543972293471896,2.9069321304265056e-06,4.0697407099988725,4.724137939346062,4.965256744517323e-06,-0.7685515731890078,-1.0689020248931382,-0.7989805255227255,-0.26992149937041277,0.030428952333717674,0.0015898083334384046,0.7420613107121499,-0.30035045170413044,0.011913866920079638,True,True,True,False,False,False,,True,False
ELOC,-0.055921438208660135,0.7573930549246393,4.769431948910815,4.713510510702155,0.7810615878910342,-1.0730798903261656,-1.362062734740797,-1.2485389521901111,-0.11352378255068585,0.17545906186394555,0.06578930704403632,0.0023243841290079797,-0.2889828444146314,0.0007005636065594449,True,True,False,False,False,False,,True,False
