kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep,rna_concordant_iCCA,rna_concordant_HCC
GRB2,0.6468205165826619,9.132798186589776e-10,6.132329736298895,6.779150252881557,2.2763016628207145e-09,-1.3369655979756176,-1.2640299487766276,-0.8832442762274765,-0.3807856725491511,-0.45372132174814117,0.005040481690540978,8.634855316851815e-05,0.0729356491989901,0.6884997410966343,True,True,True,True,False,False,,False,False,True,False
PTK2,0.558394240722571,8.340226200033821e-05,3.9048825812397525,4.463276821962324,0.00012254116856683707,-0.9454279259388901,-0.6106532290507383,-0.5568317397272259,-0.053821489323512384,-0.38859618621166425,0.2791416482073489,0.00010255517595160527,0.33477469688815187,0.011117560716106983,True,True,False,True,False,False,,False,True,True,False
FERMT2,-0.1915958998567473,0.1575283976137276,4.026674889980339,3.8350789901235918,0.17766360633127173,-0.9935008826478519,-0.5800968395275312,-0.6083324667219008,0.02823562719436956,-0.3851684159259511,0.6166066619982478,0.001426458889056172,0.41340404312032064,0.015627559093644865,True,True,False,True,False,False,,False,True,False,False
BCL2L1,1.9780484587860556,2.1272213675161497e-17,5.943792429974724,7.921840888760779,3.6561617254183824e-16,-1.4031302865850588,-1.2318834884827923,-1.050613928611089,-0.18126955987170335,-0.35251635797396985,0.068877292320053,0.0024659664962933584,0.1712467981022665,0.22910188406505871,True,True,False,True,True,False,-0.5,False,False,True,False
CCND1,2.054019459082376,2.5692965007821603e-11,5.306499042524385,7.360518501606761,8.059580278118944e-11,-1.308961922880075,-1.3001666103785965,-0.9698719595266376,-0.33029465085195886,-0.33908996335343744,0.011001290224450398,0.017856680532080154,0.00879531250147858,0.7064743169441505,True,True,True,True,True,False,-0.5,False,False,True,False
FGFR1,3.1606321416346175,1.3319710736152952e-19,1.5072172888274284,4.667849430462046,1.386273027995852e-17,-0.4449988415156555,-0.050432581849601414,-0.11864178956947645,0.06820920771987504,-0.32635705194617903,0.1487483755735369,0.00043367001972994146,0.3945662596660541,0.0012851152318451547,False,True,False,True,True,False,0.22214152091913422,False,True,True,False
ACTB,1.1208719923801986,3.175716155079581e-17,10.615469516450213,11.736341508830412,5.038395822962796e-16,-0.9153203564012022,-0.7592679655076708,-0.621375361581125,-0.1378926039265458,-0.2939449948200772,0.03936332761965658,0.0011434422195857655,0.1560523908935314,0.1115152632161072,True,True,False,True,True,False,-0.5,False,False,True,False
CRKL,0.6645379786070134,3.9192406351447765e-07,5.012758317547216,5.677296296154229,7.282372801789281e-07,-1.1864879428022457,-1.2166683419637894,-0.9155595852107865,-0.30110875675300286,-0.27092835759145917,0.0039621060388413225,0.08830921565446823,-0.03018039916154369,0.551667232938351,True,True,True,True,False,False,,False,False,True,False
MTOR,-0.002624505008263611,0.9399418735595164,3.7660760557588375,3.763451550750574,0.9462502082813924,-1.4361566467568183,-1.1152341428499608,-1.1685322524078487,0.05329810955788794,-0.26762439434896956,0.33913575265819484,0.0017688777454051348,0.3209225039068575,0.009665422163922356,True,True,False,True,False,False,,False,True,False,False
PTPN11,0.9522967709223282,2.6241104080365146e-08,4.9711386396181085,5.923435410540437,5.432599966449497e-08,-1.024676458485909,-0.9604997211268845,-0.7665995250240216,-0.1939001961028629,-0.2580769334618873,0.009147542866247626,0.0001925073110341568,0.0641767373590244,0.8363847042199137,True,True,False,True,False,False,,False,False,True,False
ARPC4,0.5547111797249267,6.866624376616128e-07,5.723772179577534,6.27848335930246,1.2436805951061045e-06,-0.9017335696636684,-0.7006968057094076,-0.6651488753497348,-0.03554793035967285,-0.23658469431393359,0.31309666776194345,0.00016051730881318913,0.20103676395426073,0.019046991875026217,True,True,False,True,False,False,,False,True,True,False
