kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep,rna_concordant_iCCA,rna_concordant_HCC
GRB2,0.6468205165826619,9.132798186589776e-10,6.132329736298895,6.779150252881557,2.2763016628207145e-09,-1.3369655979756176,-1.2640299487766276,-0.8832442762274765,-0.3807856725491511,-0.45372132174814117,0.005040481690540978,8.634855316851815e-05,0.0729356491989901,0.6884997410966343,True,True,True,True,False,False,,False,False,True,False
TRPM7,0.6330473732681585,1.1926316098486662e-05,2.854681049900382,3.4877284231685404,1.90867328443288e-05,-0.5308466601175228,-1.0516716401155908,-0.7208099145430217,-0.3308617255725691,0.18996325442549888,0.0009098022484815961,0.03207793950567069,-0.520824979998068,0.0002555630809793023,True,True,True,False,False,False,,True,False,True,False
CCND1,2.054019459082376,2.5692965007821603e-11,5.306499042524385,7.360518501606761,8.059580278118944e-11,-1.308961922880075,-1.3001666103785965,-0.9698719595266376,-0.33029465085195886,-0.33908996335343744,0.011001290224450398,0.017856680532080154,0.00879531250147858,0.7064743169441505,True,True,True,True,True,False,-0.5,False,False,True,False
CRKL,0.6645379786070134,3.9192406351447765e-07,5.012758317547216,5.677296296154229,7.282372801789281e-07,-1.1864879428022457,-1.2166683419637894,-0.9155595852107865,-0.30110875675300286,-0.27092835759145917,0.0039621060388413225,0.08830921565446823,-0.03018039916154369,0.551667232938351,True,True,True,True,False,False,,False,False,True,False
WNK1,0.6543972293471896,2.9069321304265056e-06,4.0697407099988725,4.724137939346062,4.965256744517323e-06,-0.7685515731890078,-1.0689020248931382,-0.7989805255227255,-0.26992149937041277,0.030428952333717674,0.0015898083334384046,0.7420613107121499,-0.30035045170413044,0.011913866920079638,True,True,True,False,False,False,,True,False,True,False
EGFR,0.37904821165711056,0.019353853911857736,4.255643023314651,4.634691234971761,0.023584829360831068,-0.3922020375817584,-0.5556510439614077,-0.28621654979541417,-0.2694344941659936,-0.10598548778634426,0.000484499470265495,0.14066903272976938,-0.16344900637964932,0.14827810191656352,True,False,True,False,False,False,,False,False,False,False
PPP1R12A,1.4407054502452246,2.821178385007672e-16,2.550958264837703,3.9916637150829275,3.124123714941382e-15,-1.3738554802742295,-1.47370745393248,-1.2376359368178176,-0.23607151711466234,-0.13621954345641196,0.012258429880832089,0.21832300623110967,-0.09985197365825038,0.4440696998799819,True,True,True,False,True,False,-0.41099783467052015,False,False,True,False
ILK,0.44043111949130764,4.137462312247022e-15,0.18049009700223453,0.6209212164935421,2.994216147020871e-14,-0.4781151120455283,-0.5937261156872975,-0.3595843737504669,-0.23414174193683057,-0.11853073829506139,0.000485669502684446,0.06988387289705754,-0.11561100364176918,0.3622332716763398,True,True,True,False,False,False,,False,False,False,False
SLC3A2,0.7587271489982053,1.231027276128719e-06,5.725249232770207,6.483976381768413,2.1747269867370304e-06,-0.3554914543838172,-0.7249000444991494,-0.4943311779191602,-0.23056886657998915,0.13883972353534302,0.0008254722136300079,0.01600284335604834,-0.36940859011533217,0.00011764056738447306,True,False,True,False,False,False,,True,False,True,False
CDK1,0.8562803692686978,0.00013351335337049715,3.1443921766815524,4.00067254595025,0.00019123006342128496,-2.3604075837177625,-2.5944396526496125,-2.36661839373548,-0.2278212589141324,0.006210810017717616,0.01930674422680136,0.8707177980184022,-0.23403206893185002,0.08673064464371182,True,True,True,False,False,False,,True,False,True,False
SLC7A5,1.236285192770504,8.966185646831089e-06,3.2190424790856627,4.455327671856167,1.4561226690227655e-05,-0.13040567515708582,-0.45215445321409165,-0.22497446103068702,-0.22717999218340462,0.09456878587360121,0.005070807586417795,0.1916866952208971,-0.32174877805700586,0.0058218480308125774,True,False,True,False,True,False,-0.5,True,False,True,False
