kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep,rna_concordant_iCCA,rna_concordant_HCC
AAK1,1.1920786662161276,1.1288868048085262e-15,1.7964328914183505,2.988511557634478,9.960765924781114e-15,-0.13690037316755033,-0.21328775397838476,-0.1330286137510209,-0.08025914022736386,-0.0038717594165294245,0.0073765362015665945,0.8670801783066487,-0.07638738081083443,0.03776938324812366,False,False,False,False,True,False,0.15731912433795722,False,False,True,False
AASDHPPT,0.7857836274888887,5.409154316611834e-10,3.4556676081213817,4.2414512356102705,1.4011153253390152e-09,-0.2934727612083871,-0.228817517542935,-0.2939730065223076,0.06515548897937262,0.000500245313920511,0.20458781928395064,0.988674445661222,0.06465524366545211,0.3751750676264969,False,False,False,False,False,False,,False,False,True,False
ABI1,1.245863640492189,5.950685650034831e-16,4.618706089365131,5.86456972985732,5.8794199536272286e-15,-0.14467530462971462,-0.15283675968845467,-0.08713442719400676,-0.06570233249444792,-0.05754087743570786,0.4141550188275125,0.10611291778164074,-0.008161455058740053,0.6530819591087469,False,False,False,False,True,False,-0.5,False,False,True,False
ABI3BP,0.8801543754304955,4.066114944710246e-06,0.8490519933302816,1.729206368760777,6.832066862293184e-06,-0.04928025029638511,0.04348718017479874,-0.02229342479310325,0.06578060496790199,-0.02698682550328186,0.022978738023287638,0.1575901021880839,0.09276743047118385,0.01461440662792917,False,False,False,False,False,False,1.2621129106451503,False,False,True,False
ABL1,1.2523812478780907,7.778271344871376e-14,3.9837687426611166,5.236149990539207,3.8196868211421934e-13,0.0017757385531856015,-0.054598097276713074,-0.03174879507901009,-0.02284930219770298,0.033524533632195694,0.4473360986246947,0.4314782631630354,-0.056373835829898675,0.2689474626484927,False,False,False,False,True,False,-0.5,False,False,True,False
ABL2,1.065430048127372,4.987444557412836e-12,2.094222923326973,3.159652971454345,1.7621745853227873e-11,0.06963423153845284,0.08629581935987275,0.06021020509260405,0.0260856142672687,0.00942402644584879,0.1964262686305911,0.7301166273757771,0.01666158782141991,0.5196684087258145,False,False,False,False,True,False,-0.22932758476052245,False,False,True,False
ACACB,-0.6249401849311789,0.00013351335337049715,3.758869582441008,3.1339293975098292,0.00019123006342128496,-0.09081145484070217,-0.1084309598258812,-0.1111773373179826,0.0027463774921013956,0.020365882477280425,0.8671196074079105,0.2151298138459562,-0.01761950498517903,0.25856634178780447,False,False,False,False,False,False,,False,False,False,True
ACKR3,0.6933415100194704,0.001705235917208901,4.033747758997579,4.72708926901705,0.0022654100349393616,0.06344278582472208,0.03959641459689877,0.04981173003939488,-0.010215315442496112,0.013631055785327202,0.4167398995826326,0.44238138534737514,-0.023846371227823314,0.1552168135349903,False,False,False,False,False,False,,False,False,True,False
ACP1,0.6084023135540688,4.299790086544176e-09,5.661010863038047,6.269413176592116,9.548659007803351e-09,0.03842891608286087,0.055443885323193956,0.05354144290546354,0.001902442417730417,-0.015112526822602668,0.9360192595521386,0.35445992577652286,0.017014969240333085,0.3622332716763398,False,False,False,False,False,False,,False,False,True,False
ACP3,0.4172328310479926,2.3445907504495684e-09,0.27439455327923057,0.6916273843272231,5.448696814425054e-09,0.0700330485510943,0.04441290280691088,0.0743927310694275,-0.029979828262516613,-0.004359682518333199,0.3560119375775411,0.8021562863743811,-0.025620145744183413,0.32511192373628106,False,False,False,False,False,False,,False,False,False,False
ACP5,0.5202990428931376,0.06667675861181152,4.6055631489327755,5.125862191825913,0.0778603338354487,0.01873337175378879,0.0020918701418843957,0.005410766617025981,-0.003318896475141585,0.01332260513676281,0.6598959728103259,0.3144824164741853,-0.016641501611904395,0.20210932666810477,False,False,False,False,False,False,,False,False,False,False
ACR,-0.20853186824825864,0.006167306725609971,0.47586930280371226,0.2673374345554536,0.007821718752695198,-0.159170546624604,-0.10041024135096865,-0.1622760456912745,0.061865804340305836,0.0031054990666704863,0.020822653113973657,0.8093115913337184,0.05876030527363535,0.04502088100253865,False,False,False,False,False,False,,False,False,False,False
ACSL3,0.10604752545508411,0.3318387320501631,4.904442003461084,5.010489528916168,0.3618862576885454,-0.37087934124532573,-0.4210562834493332,-0.33509439480440795,-0.08596188864492527,-0.035784946440917786,0.12323718826039756,0.9208487264882463,-0.05017694220400748,0.4735308011235977,True,False,False,False,False,False,,False,False,False,False
ACSL4,-0.7305913200206948,0.008071670355028869,5.7124821858300185,4.981890865809324,0.010143378587812363,-0.1631687815479841,-0.1534865619402131,-0.1780813345169634,0.0245947725767503,0.014912552968979309,0.786293688624579,0.9093251928584752,0.009682219607770992,0.7613519194381367,False,False,False,False,False,False,-0.5,False,False,False,True
ACSM3,0.9135487788412875,0.0010759197336873577,2.4971757691382215,3.410724547979509,0.0014480159547994617,-0.006261432783858853,0.055652157770259475,0.03460426224524094,0.021047895525018533,-0.04086569502909979,0.39776571572139785,0.015293362511539198,0.061913590554118325,0.009665422163922356,False,False,False,False,False,False,,False,False,True,False
