kinase,icca_selective,dep_diff_iCCA_minus_HCC,dep_fdr_icca_vs_hcc,chronos_iCCA,chronos_HCC,chronos_other,common_essential,selective_both,survives_direct_fdr10,log2FC_iCCA_HCC,rna_concordant_iCCA
CCND1,-0.3302946508519588,0.0087953125014785,0.9277168871727766,-1.3001666103785965,-1.308961922880075,-0.9698719595266376,True,True,False,2.054019459082376,True
CDK1,-0.2278212589141324,-0.23403206893185,0.5316389896862639,-2.5944396526496125,-2.3604075837177625,-2.36661839373548,True,False,False,0.8562803692686978,True
CRKL,-0.3011087567530028,-0.0301803991615436,0.8737451440818459,-1.2166683419637894,-1.1864879428022457,-0.9155595852107864,True,True,False,0.6645379786070134,True
EGFR,-0.2694344941659936,-0.1634490063796493,0.6250252799947532,-0.5556510439614077,-0.3922020375817584,-0.2862165497954141,False,False,False,0.3790482116571105,False
GRB2,-0.3807856725491511,0.0729356491989901,0.9206749243973311,-1.2640299487766276,-1.3369655979756176,-0.8832442762274765,True,True,False,0.6468205165826619,True
ILK,-0.2341417419368305,-0.1156110036417691,0.7872078948744272,-0.5937261156872975,-0.4781151120455283,-0.3595843737504669,False,False,False,0.4404311194913076,False
PPP1R12A,-0.2360715171146623,-0.0998519736582503,0.8283111939689325,-1.47370745393248,-1.3738554802742295,-1.2376359368178176,True,False,False,1.4407054502452246,True
SLC3A2,-0.2305688665799891,-0.3694085901153321,0.06297691707311547,-0.7249000444991494,-0.3554914543838172,-0.4943311779191602,False,False,True,0.7587271489982053,True
SLC7A5,-0.2271799921834046,-0.3217487780570058,0.30160928830596373,-0.4521544532140916,-0.1304056751570858,-0.224974461030687,False,False,False,1.236285192770504,True
TRPM7,-0.3308617255725691,-0.520824979998068,0.0751824725073114,-1.0516716401155908,-0.5308466601175228,-0.7208099145430217,True,False,True,0.6330473732681585,True
WNK1,-0.2699214993704127,-0.3003504517041304,0.3751700053656438,-1.0689020248931382,-0.7685515731890078,-0.7989805255227255,True,False,False,0.6543972293471896,True
