gene,dep_iCCA_minus_HCC
TFRC,-0.5481153276837418
SLC3A2,-0.36940859011533217
SLC7A5,-0.32174877805700586
GLS,-0.1756468034734761
SLC2A1,-0.08863534000895412
SLC38A2,-0.07642745728596106
IREB2,-0.06292245509931393
SLC7A11,-0.043739527716375834
STEAP3,-0.042809914959296036
FXN,-0.03542627437650392
HMOX1,-0.021899302691538024
SLC11A2,-0.011759974371428283
SLC7A6,-0.007892883193339181
NCOA4,-0.007638744684019871
SLC16A3,-0.007332131538372748
SLC40A1,-0.006458014525006106
TFR2,0.0019782187550981267
SLC38A1,0.004906332869726832
SLC38A5,0.004928203922928101
SLC25A37,0.013029459013615179
FTL,0.016791278437638096
ACO1,0.022098486784196344
HAMP,0.024678054631192298
STEAP2,0.028289135730814485
STEAP1,0.03715217081191416
SLC16A1,0.03716447681005017
CYBRD1,0.04549279541302739
SLC7A8,0.05207321660825947
SLC1A5,0.059709742986448155
FTH1,0.06691576912194558
GOT2,0.10577424418800813
SLC25A28,0.24876648537412707
